county_name,population,prison_population
Colorado County,857602,9095
Colquitt County,2547398,24263
Columbia County,20904687,100224
Columbiana County,4209476,11541
Columbus County,2710710,15989
Colusa County,1025030,6081
Comal County,3750757,19094
Comanche County,7972010,70165
Concho County,148865,731
Concordia Parish,353659,3540
Conecuh County,783943,6220
Conejos County,322400,613
Contra Costa County,58586240,164520
Converse County,256767,1440
Cook County,299696876,1965241
Cooke County,1542992,14997
Cooper County,947321,9524
Coos County,5127898,22878
Coosa County,606199,5501
Copiah County,1183590,8217
Corson County,87246,103
Cortland County,2573965,7635
Coryell County,4099918,17331
Coshocton County,1360183,5723
Costilla County,75984,179
Cottle County,59798,515
Cotton County,322747,3680
Cottonwood County,470755,912
Covington County,2787908,26581
Covington city,348195,0
Coweta County,5690157,38343
Cowlitz County,5448395,39843
Craig County,1022912,6616
Crane County,178423,976
Craven County,4272573,25433
Crawford County,11719919,48287
Creek County,3843538,26446
Crenshaw County,668090,3211
Crisp County,1350283,22414
Crittenden County,480251,2047
Crockett County,962520,13202
Crook County,906126,3723
Crosby County,250429,1299
Crow Wing County,2495210,6178
Crowley County,248035,1209
Culberson County,128397,652
Cullman County,4745276,24147
Culpeper County,1665803,9609
Cumberland County,47166706,191140
Cuming County,326678,566
Currituck County,736819,2967
Curry County,922104,3995
Custer County,2473674,18892
Cuyahoga County,59871535,565062
Dade County,1182237,8365
Daggett County,17970,50
Dakota County,20174754,29859
Dale County,3175583,15316
Dallam County,239275,2139
Dallas County,112601310,1137565
Dane County,28948608,115317
Danville city,2501287,40812
Dare County,1345190,6098
Darke County,1596667,3836
Darlington County,4215516,32828
Dauphin County,16317578,132875
Davidson County,46089426,360528
Davie County,1726876,7198
Daviess County,6670821,39829
Davis County,14316976,35192
Davison County,879050,6248
Dawes County,520183,1170
Dawson County,2705932,20147
Day County,248752,894
De Soto Parish,479120,4153
De Witt County,771831,2750
DeKalb County,55832297,283637
DeSoto County,6204104,40078
DeWitt County,867744,10513
Deaf Smith County,1103489,15622
Dearborn County,1335500,11975
Decatur County,3205667,31911
Defiance County,1493226,11161
Del Norte County,1592230,11252
Delaware County,47634210,175225
Delta County,3682707,14225
Dent County,796548,6113
Denton County,23629476,85471
Denver County,36508332,324002
Des Moines County,1288951,9213
Deschutes County,6825687,24585
Deuel County,181081,560
Dewey County,198164,308
Dickens County,83325,729
Dickenson County,978408,5261
Dickey County,166249,328
Dickinson County,1853959,5852
Dickson County,2549809,13884
Dillon County,1815573,15054
Dimmit County,380806,1773
Dinwiddie County,1192663,7116
Divide County,29419,63
Dixie County,650834,8001
Dixon County,232290,374
Doddridge County,220907,615
Dodge County,8599227,38100
Dolores County,36630,0
Donley County,125612,1625
Dooly County,705055,8056
Door County,1353495,3870
Dorchester County,8493155,51746
Dougherty County,6239501,80576
Douglas County,61960418,272840
DuPage County,51794531,87896
Dubois County,994136,3005
Dubuque County,2778052,8372
Duchesne County,734793,4446
Dukes County,221271,214
Dundy County,46803,39
Dunklin County,1736438,23517
Dunn County,2233773,2786
Duplin County,2319408,14184
