county_name,population,prison_population
Northumberland County,6159087,24617
Norton city,236805,0
Nottoway County,709547,5196
Nowata County,448373,2259
Noxubee County,471896,2206
Nuckolls County,64435,157
Nueces County,15982738,154428
Nye County,1319637,9301
O'Brien County,417224,1529
Oakland County,74573012,388358
Obion County,1940744,10825
Ocean County,26953164,59401
Oceana County,1140986,4258
Ochiltree County,427689,2408
Oconee County,5352529,25092
Oconto County,1740578,4867
Ogemaw County,917633,3843
Ogle County,2373669,5079
Oglethorpe County,658455,3755
Ohio County,3459585,16701
Okaloosa County,9131162,53525
Okanogan County,2072789,7151
Okeechobee County,1767400,19866
Okfuskee County,638621,5887
Oklahoma County,40668322,485973
Okmulgee County,2138135,18720
Oktibbeha County,2204267,13344
Oldham County,2925987,4572
Oliver County,55929,12
Olmsted County,6800695,16447
Oneida County,14356528,69276
Onondaga County,25663205,120353
Onslow County,7967889,34168
Ontario County,5393833,31916
Ontonagon County,402433,777
Orange County,260724773,1124603
Orangeburg County,5756876,49988
Oregon County,467191,1864
Orleans County,2059710,8068
Orleans Parish,10142475,155162
Osage County,3220206,14815
Osceola County,11602344,66333
Oscoda County,457209,1848
Oswego County,6402218,16560
Otero County,1037112,5707
Otoe County,769846,1885
Otsego County,3967976,12630
Ottawa County,17077596,51223
Otter Tail County,2552705,4282
Ouachita Parish,2740724,25018
Ouray County,73352,71
Outagamie County,9707006,26449
Overton County,1170798,4988
Owen County,1039815,5291
Owsley County,254078,1704
Oxford County,1005542,1730
Ozark County,486258,2138
Ozaukee County,4716771,8885
Pacific County,1006849,5143
Page County,1444538,6677
Palm Beach County,57923264,258022
Palo Alto County,344600,365
Palo Pinto County,1258056,18866
Pamlico County,429178,2000
Panola County,2403927,20052
Park County,1058676,3232
Parke County,420412,2087
Parker County,4298117,29704
Parmer County,370918,1325
Pasco County,17555141,102054
Pasquotank County,1747107,10321
Passaic County,30182068,185695
Patrick County,952259,5535
Paulding County,5960144,18154
Pawnee County,878769,3655
Payne County,4615060,18556
Peach County,1196460,6332
Pearl River County,1984933,11311
Pecos County,759758,5295
Pembina County,309469,440
Pemiscot County,1130005,20766
Pend Oreille County,522984,1049
Pender County,2075665,9471
Pendleton County,999807,3966
Pennington County,5655667,45581
Penobscot County,3483945,8302
Peoria County,10031531,68463
Pepin County,239442,422
Perkins County,184799,625
Perquimans County,432943,1924
Perry County,9550638,40412
Pershing County,140995,1220
Person County,1651731,10118
Petersburg city,1860852,31743
Pettis County,2272001,19489
Phelps County,2825172,13487
Philadelphia County,99493363,1233924
Phillips County,152957,576
Piatt County,788645,1010
Pickaway County,2186126,11111
Pickens County,9666794,48778
Pickett County,187609,619
Pierce County,46099397,199551
Pike County,13699346,73692
Pima County,29603892,242996
Pinal County,9035971,59868
Pine County,1151113,2787
Pinellas County,44683709,388725
Pipestone County,347831,555
Piscataquis County,469850,740
Pitkin County,903793,1992
Pitt County,6992311,47344
Pittsburg County,2358211,20658
Pittsylvania County,3172498,22956
Piute County,23736,0
Placer County,15512369,56614
Plaquemines Parish,497457,3594
Platte County,6448239,22999
Pleasants County,271822,350
Plumas County,888697,3108
Plymouth County,8493060,17425
Pocahontas County,586891,1177
Pointe Coupee Parish,331861,1492
Polk County,53248804,419114
Pontotoc County,3033104,21041
Pope County,655768,1370
Poquoson city,714588,0
Portage County,10479561,27719
Porter County,4569406,10992
Portsmouth city,5428493,77812
Posey County,725688,3927
Pottawatomie County,3868897,30099
Pottawattamie County,3225347,19492
Potter County,6564688,111347
Powell County,543391,3265
Poweshiek County,591709,959
Powhatan County,999992,3509
Preble County,1323758,4629
Prentiss County,1039829,5555
Presidio County,259881,826
Presque Isle County,590244,2300
Preston County,1447349,2300
Price County,693659,1655
Prince Edward County,931815,7509
Prince George County,1537266,6816
Prince George's County,54068853,233811
Prince William County,14980415,63045
Prowers County,734717,3080
Pueblo County,8611635,58218
Pulaski County,9036215,52213
Pushmataha County,523747,2901
Putnam County,17681558,84767
Queen Anne's County,2352525,10381
Quitman County,424811,4435
Rabun County,725160,3737
Racine County,11627662,83373
Radford city,917098,2993
Rains County,384971,3747
Raleigh County,3419100,8484
Ralls County,497765,2509
Ramsey County,29980465,100158
Randall County,5457985,33329
Randolph County,13418658,64419
Rankin County,5359417,26286
Ransom County,121119,223
Rapides Parish,2272812,19576
Rappahannock County,343500,1396
Ray County,1297783,10316
Reagan County,125987,786
Real County,100947,727
Red Lake County,82700,202
Red River County,588014,7920
Red River Parish,121041,1273
Red Willow County,573389,2117
Redwood County,708487,1927
Reeves County,745448,6939
Refugio County,341767,4418
Rensselaer County,8583184,32997
Renville County,742930,940
Reynolds County,355678,1715
Rhea County,1622205,5231
Rice County,2715068,3831
Rich County,60698,103
Richardson County,444946,1522
Richland County,30938128,208274
Richland Parish,338672,5203
Richmond County,15737389,162315
Richmond city,11803914,184150
Ringgold County,132715,266
Rio Blanco County,337106,1146
Rio Grande County,520217,1642
Ripley County,1358691,7053
Ritchie County,394911,575
Riverside County,96113899,666821
Roane County,3578376,8691
Roanoke County,4479220,16412
Roanoke city,5141947,54890
Roberts County,452220,3991
Robertson County,3969091,24522
Robeson County,5953500,45690
Rock County,9716286,46437
Rock Island County,8102500,32848
Rockbridge County,955456,6639
Rockcastle County,965502,4660
Rockdale County,4555980,29159
Rockingham County,20128655,59622
Rockland County,15821755,37970
Rockwall County,2390409,14472
Roger Mills County,161264,1082
Rogers County,4068794,18830
Rolette County,518190,728
Roscommon County,1064661,5764
Roseau County,598303,906
Ross County,3111474,13391
Routt County,1110931,2220
Rowan County,7910972,57076
Runnels County,445213,5256
Rush County,455572,2831
Rusk County,3175322,15959
Russell County,5552259,48018
Rutherford County,15537378,71593
Sabine County,420177,2412
Sabine Parish,401549,3701
Sac County,243405,316
Sacramento County,75903062,512715
Sagadahoc County,731673,1322
Saginaw County,13335647,127086
Saguache County,224400,542
Salem County,3808459,19956
Salem city,1160502,5504
Saline County,3241788,25198
Salt Lake County,53354332,163327
Saluda County,1092509,8667
Sampson County,3037851,21449
San Augustine County,323997,2337
San Benito County,2706282,8106
San Bernardino County,105704352,745844
San Diego County,174658237,902012
San Francisco County,55543865,226972
San Jacinto County,906923,5738
San Joaquin County,34719010,234691
San Juan County,1249760,2184
San Luis Obispo County,15481353,49486
San Mateo County,44598942,131281
San Miguel County,291490,604
San Patricio County,3392409,26051
San Saba County,228840,1714
Sanborn County,65106,51
Sandusky County,2590092,10645
Sangamon County,10436426,49141
Sanilac County,1856371,4110
Sanpete County,985295,2152
Santa Barbara County,25492852,117451
Santa Clara County,106759372,438294
Santa Cruz County,17684018,56409
Santa Rosa County,6484664,31858
Sarasota County,14400240,77166
Saratoga County,11145934,15521
Sargent County,139296,50
Sarpy County,8401355,15748
Sauk County,2951046,7734
Saunders County,1050942,2548
Sawyer County,773065,2477
Schenectady County,7853038,50018
Schleicher County,123355,876
Schley County,209090,1868
Schoharie County,1473891,2623
Schoolcraft County,458770,1360
Schuyler County,1315557,3658
Schuylkill County,8621687,17094
Scioto County,3326279,27953
Scotland County,1917538,19203
Scott County,18716095,94510
Scotts Bluff County,2061960,8165
Screven County,814297,9060
Scurry County,804773,10299
Sedgwick County,59641,253
Seminole County,21585287,99273
Seneca County,3675302,12862
Sequatchie County,593545,3398
Sequoyah County,2109740,9421
Sevier County,5392135,24860
Seward County,782254,2035
Shackelford County,126361,781
Shannon County,385297,1624
Sharkey County,233137,1209
Shasta County,9749336,89862
Shawano County,2185190,9430
Sheboygan County,6217498,16867
Shelby County,75015479,519240
Shenandoah County,1544545,6195
Sherburne County,3477034,6031
Sheridan County,879697,4721
Sherman County,221457,662
Shiawassee County,4425007,17897
Sibley County,432032,614
Sierra County,165733,632
Simpson County,2083099,10384
Sioux County,975654,1055
Siskiyou County,2538445,17049
Skagit County,5615114,19491
Skamania County,468363,1663
Slope County,39132,12
Smith County,10130909,120636
Smyth County,1436129,5944
Snohomish County,36672273,88110
Snyder County,2184872,8262
Solano County,23488574,112458
Somerset County,24181624,63265
Somervell County,305341,2226
Sonoma County,28038742,87046
Southampton County,952367,18809
Spalding County,3720738,45211
Spartanburg County,16560745,140139
Spencer County,1090825,2641
Spink County,319217,949
Spokane County,25605851,75655
Spotsylvania County,3997121,11400
St. Bernard Parish,1227743,5214
St. Charles County,17350539,69240
St. Charles Parish,841652,3508
St. Clair County,29100468,136466
St. Croix County,3664499,4580
St. Francois County,3481458,32199
St. Helena Parish,152212,754
St. James Parish,374282,2759
St. John the Baptist Parish,572923,2594
St. Johns County,7417771,47447
St. Joseph County,10758495,66333
St. Landry Parish,1439651,9446
St. Lawrence County,5607535,11342
St. Louis County,73034302,316930
St. Louis city,22597630,412495
St. Lucie County,10130285,106190
St. Martin Parish,834493,7220
St. Mary Parish,1032879,10707
St. Mary's County,5454814,14990
St. Tammany Parish,3222761,18552
Stafford County,4624129,26813
Stanislaus County,26359664,156120
Stanley County,72014,383
Stanly County,2567991,13043
Stanton County,320752,644
Stark County,17624696,83198
Starke County,626553,5161
Starr County,2155674,6753
Staunton city,1326456,9885
Ste. Genevieve County,892063,5216
Stearns County,7075520,14743
Steele County,1571169,2645
Stephens County,4337459,42572
Stephenson County,2542065,15082
Sterling County,24528,179
Steuben County,5746433,20302
Stevens County,2259127,4918
Stewart County,820442,4024
Stoddard County,1654410,12096
Stokes County,2010830,10445
Stone County,1888122,10004
Stonewall County,61649,481
Storey County,90805,304
Story County,3400715,6937
Strafford County,5638958,14070
Stutsman County,1068592,2348
Sublette County,154267,550
Suffolk County,95739409,250903
Suffolk city,3320678,43192
Sullivan County,16885610,102494
Sully County,24478,75
Summers County,638840,1622
Summit County,26297763,156064
Sumner County,8497126,38041
Sumter County,12030406,100377
Sunflower County,1594002,11791
Surry County,3520150,19805
Susquehanna County,2180683,5041
Sussex County,8760605,16560
Sutter County,4568841,34316
Sutton County,183538,1082
Suwannee County,1658848,21934
Swain County,451530,2019
Sweetwater County,880799,6407
Swift County,381821,464
Swisher County,283933,2763
Switzerland County,206290,630
Talbot County,2251264,17379
Taliaferro County,80226,1127
Talladega County,5133896,54206
Tallahatchie County,605031,4109
Tallapoosa County,2482151,20537
Tama County,389651,1452
Taney County,2055051,12532
Tangipahoa Parish,1855903,11986
Tarrant County,78578229,586700
Tate County,1011089,6436
Tattnall County,1413373,13504
Taylor County,11692329,105009
Tazewell County,9818640,45776
Tehama County,3205377,31358
Telfair County,803633,9386
Teller County,1067898,3033
Tensas Parish,81932,724
Terrebonne Parish,1884109,15533
Terrell County,487525,4959
Terry County,640402,8784
Teton County,340608,743
Texas County,2268548,14572
Thayer County,234019,602
Thomas County,2667732,24186
Throckmorton County,65391,501
Thurston County,12761055,46496
Tift County,2419209,26644
Tillamook County,1087891,4075
Tillman County,408835,2724
Tioga County,4743243,12724
Tippah County,848072,2705
Tippecanoe County,5052410,30318
Tipton County,3113234,11921
Tishomingo County,757923,2304
Titus County,1263870,9236
Todd County,1834505,4614
Tom Green County,5646403,61256
Tompkins County,5501296,9725
Tooele County,2228389,8092
Toombs County,1589884,23128
Towner County,65889,154
Towns County,444718,2234
Traill County,266943,158
Transylvania County,1188321,4164
Traverse County,67734,226
Travis County,43005060,281585
Trempealeau County,1420303,2067
Treutlen County,313968,3747
Trigg County,626827,2495
Trimble County,260924,863
Trinity County,1157051,9789
Tripp County,280972,1747
Troup County,3825629,49731
Trousdale County,381416,2220
Trumbull County,9464523,34547
Tucker County,221852,240
Tulare County,22300473,171867
Tulsa County,34079274,313016
Tunica County,353667,4664
Tuolumne County,3061676,17198
Turner County,749828,6315
Tuscaloosa County,11603591,76069
Tuscarawas County,3540849,8566
Tuscola County,3247434,14912
Twiggs County,543866,3298
Tyler County,1292607,8586
Tyrrell County,150087,907
Uinta County,391953,1086
Uintah County,1436469,7183
Ulster County,9267922,30804
Umatilla County,3802048,17048
Unicoi County,983961,3295
Union County,53110912,283634
Union Parish,328544,2139
Upshur County,2740913,15978
Upson County,1653130,16068
Upton County,130778,668
Utah County,21863339,36004
Uvalde County,1003100,5741
Val Verde County,1932971,7404
Valley County,116440,30
Van Buren County,5061921,22423
Van Wert County,883950,2767
Van Zandt County,2013224,11846
Vance County,1851884,13275
Vanderburgh County,4985866,40811
Venango County,3218363,16846
Ventura County,46310796,154164
Vermilion County,4739039,27354
Vermilion Parish,992451,6287
Vermillion County,427356,2024
Vernon County,2462142,9400
Vernon Parish,1151116,5562
Victoria County,4039458,42426
Vigo County,3057744,17299
Vilas County,907218,2504
Vinton County,416045,1948
Virginia Beach city,22578584,108286
Volusia County,20768294,160733
Wabash County,1424444,8330
Wabasha County,670175,621
Wadena County,558451,1437
Wagoner County,3271408,8703
Wahkiakum County,192309,658
Wake County,33800319,149107
Wakulla County,1271249,8727
Waldo County,682102,1577
Walker County,11440788,66475
Walla Walla County,3102712,8956
Waller County,1605775,9727
Wallowa County,332322,675
Walsh County,538502,1292
Walthall County,528342,3185
Walton County,5952524,45544
Walworth County,5761757,24104
Wapello County,1089465,6604
Ward County,3910568,12439
Ware County,2245209,29574
Warren County,35011550,163220
Warrick County,1477935,3066
Wasatch County,818435,1755
Wasco County,1251847,5014
Waseca County,788503,1157
Washakie County,120569,332
Washburn County,689832,1668
Washington County,99670847,377927
Washington Parish,774344,10065
Washita County,534703,3514
Washoe County,14549350,128106
Washtenaw County,21617130,99853
Watauga County,2249308,5614
Watonwan County,445454,1021
Waukesha County,21557097,44354
Waupaca County,2571844,4414
Waushara County,956322,2266
Wayne County,150911570,1380371
Waynesboro city,931393,7944
Weakley County,1875819,5653
Webb County,9668632,33780
Weber County,11887206,77902
Webster County,4551942,22074
Webster Parish,732676,7452
Weld County,11770972,61083
Wells County,824448,5102
West Baton Rouge Parish,321500,2215
West Carroll Parish,163582,960
West Feliciana Parish,263855,3078
Westchester County,50656562,143703
Westmoreland County,23828088,44099
Weston County,91300,395
Wetzel County,757735,1833
Wexford County,1561851,7921
Wharton County,1800104,13787
Whatcom County,10202810,26490
Wheeler County,597756,4164
White County,3893923,20189
White Pine County,317318,2982
Whiteside County,3132475,17029
Whitfield County,5579972,51779
Whitley County,2999395,13540
Whitman County,2127197,1432
Wichita County,6563717,45083
Wicomico County,5645555,60454
Wilbarger County,645689,7283
Wilcox County,999973,6362
Wilkes County,3510634,27376
Wilkin County,249591,409
Wilkinson County,767662,4495
Will County,29812168,83301
Willacy County,967970,5984
Williams County,2499365,8995
Williamsburg County,2204025,22377
Williamsburg city,839663,18699
Williamson County,24811912,102294
Wilson County,10451340,46773
Winchester city,1304691,9605
Winkler County,348285,3086
Winn Parish,315319,2903
Winnebago County,25801677,117196
Winneshiek County,538687,582
Winona County,2327823,3572
Winston County,2242564,14276
Wirt County,231529,681
Wise County,4462917,20985
Wolfe County,401752,1690
Wood County,15007528,49173
Woodbury County,3339069,22314
Woodford County,2804756,8404
Woods County,444574,1185
Woodward County,1064077,4341
Worcester County,15583259,41939
Worth County,1665291,10665
Wright County,6055866,11000
Wyandot County,913762,2918
Wyoming County,4519641,10695
Wythe County,1461621,7954
Yadkin County,1563472,7772
Yakima County,12511433,52179
Yalobusha County,432402,3536
Yamhill County,4691287,17483
Yancey County,800565,2475
Yankton County,1066085,6173
Yates County,1117503,3027
Yavapai County,5788268,68565
Yazoo County,937455,5509
Yellow Medicine County,441971,849
Yoakum County,329085,2474
Yolo County,10935242,62277
York County,44657603,221829
Young County,830592,7345
Yuba County,3750563,38539
Yuma County,5799737,43855
Zapata County,465875,1678
Zavala County,501437,2420
Ziebach County,74334,0
